Unnamed: 0,Edad,Tipo de trabajador,Nivel Educativo,Salario por hora,Estado civil,Sexo,Personas a cargo,Semanas trabajadas por año,"Buen
Desempeño"
,39,Desconocido,Niño,1340,Soltero,Femenino,0,18,No
,34,Privado,Universitario sin graduar,7205,Casado,Masculino,3,52,No
,44,Desconocido,Desconocido,7321,Separado,Femenino,0,32,Si
,65,Privado,Bachiller,4161,Casado,Femenino,6,52,No
,50,Privado,10 grado,147,Soltero,Masculino,4,52,No
,65,Privado,Magister,773,Casado,Masculino,5,52,No
,39,Privado,Licenciatura,6227,Casado,Femenino,4,48,Si
,51,Desconocido,Niño,7813,Soltero,Femenino,0,30,No
,29,Desconocido,Normalista,4713,Viudo,Masculino,0,28,No
,41,Privado,7 grado,158,Casado,Masculino,6,52,Si
,43,Desconocido,Niño,6135,Soltero,Femenino,0,25,No
,26,Desconocido,Bachiller,1493,Casado,Masculino,4,50,No
,62,Privado,10 grado,7204,Soltero,Masculino,3,52,No
,53,Desconocido,Niño,2047,Soltero,Femenino,0,17,Si
,18,Desconocido,Niño,8141,Soltero,Masculino,0,33,No
,64,Privado,Bachiller,9250,Casado,Masculino,6,52,No
,68,Privado,Bachiller,4170,Divorciado,Masculino,1,48,No
,60,Privado,Bachiller,9105,Casado,Masculino,3,52,No
,37,Desconocido,Bachiller,4643,Soltero,Femenino,0,23,Si
,51,Gobierno Nacional,Licenciatura,4934,Casado,Femenino,2,52,No
,57,Independiente,Técnico,2026,Casado,Masculino,1,52,Si
,44,Gobierno local,Bachiller,1191,Casado,Femenino,4,50,Si
,64,Desconocido,Niño,155,Soltero,Femenino,0,30,Si
,44,Privado,Bachiller,700,Casado,Masculino,3,52,Si
,35,Privado,Licenciatura,5145,Casado,Femenino,1,52,No
,54,Privado,Técnico,1073,Casado,Masculino,3,50,Si
,24,Gobierno local,Licenciatura,8061,Soltero,Femenino,4,48,No
,57,Desconocido,Bachiller,9912,Casado,Masculino,0,30,No
,20,Desconocido,Niño,5284,Soltero,Masculino,0,18,Si
,64,Desconocido,Magister,5360,Casado,Masculino,0,24,No
,48,Privado,Licenciatura,6338,Casado,Masculino,4,52,Si
,31,Privado,Bachiller,650,Divorciado,Femenino,3,52,Si
,33,Privado,10 grado,9109,Soltero,Femenino,2,52,No
,51,Desconocido,Niño,3372,Soltero,Masculino,0,21,Si
,27,Desconocido,Grado 11 sin diploma,2412,Divorciado,Femenino,0,30,Si
,48,Desconocido,Niño,8737,Soltero,Masculino,0,32,No
,37,Desconocido,Niño,2965,Soltero,Masculino,0,29,No
,58,Desconocido,Licenciatura,8431,Casado,Femenino,6,52,Si
,54,Gobierno Nacional,Licenciatura,4525,Casado,Femenino,2,52,Si
,67,Desconocido,Niño,6326,Soltero,Masculino,0,30,Si
,59,Independiente,Bachiller,3327,Casado,Femenino,3,48,Si
,50,Privado,Bachiller,1929,Casado,Masculino,6,52,No
,37,Gobierno local,Licenciatura,2090,Casado,Femenino,2,52,No
,18,Desconocido,3 primaria,1920,Soltero,Femenino,0,31,No
,50,Desconocido,3 primaria,6887,Casado,Masculino,0,22,No
,34,Desconocido,Niño,5814,Soltero,Femenino,0,31,No
,34,Desconocido,Niño,777,Soltero,Masculino,0,28,Si
,29,Gobierno local,Magister,875,Casado,Femenino,6,52,No
,63,Desconocido,9 grado,8431,Casado,Masculino,0,19,Si
,37,Independiente,9 grado,230,Casado,Masculino,1,52,Si
,34,Privado,Bachiller,5308,Casado,Masculino,2,52,No
,57,Privado,Grado 11 sin diploma,900,Soltero,Masculino,1,52,No
,68,Desconocido,10 grado,6089,Soltero,Femenino,0,19,No
,54,Desempleado,9 grado,8603,Soltero,Femenino,6,42,Si
,49,Desconocido,Bachiller,6495,Soltero,Femenino,0,20,Si
,47,Desconocido,Niño,298,Soltero,Femenino,0,30,No
,30,Privado,3 primaria,9085,Soltero,Masculino,1,40,Si
,61,Desconocido,Niño,3070,Soltero,Masculino,0,27,Si
,56,Mixto,Licenciatura,3629,Casado,Masculino,1,52,No
,65,Desconocido,3 primaria,4269,Casado,Femenino,0,31,Si
,46,Desconocido,Niño,3170,Soltero,Femenino,0,22,Si
,41,Gobierno Nacional,PhD,8064,Divorciado,Masculino,6,52,Si
,24,Desconocido,10 grado,436,Casado,Femenino,0,25,No
,29,Mixto,Bachiller,2519,Divorciado,Femenino,6,46,No
,18,Privado,Universitario sin graduar,1239,Casado,Femenino,6,52,Si
,48,Gobierno local,Universitario sin graduar,744,Soltero,Femenino,6,44,Si
,18,Privado,Bachiller,7020,Separado,Masculino,6,52,No
,64,Desconocido,Bachiller,3159,Soltero,Femenino,0,24,Si
,43,Desconocido,Niño,151,Soltero,Femenino,0,32,Si
,49,Desconocido,Bachiller,357,Divorciado,Masculino,0,20,No
,65,Privado,Licenciatura,7214,Casado,Femenino,6,52,No
,64,Privado,7 grado,2248,Soltero,Femenino,1,46,No
,27,Desconocido,Niño,6250,Soltero,Femenino,0,31,No
,54,Privado,Bachiller,7672,Casado,Femenino,6,47,No
,63,Desconocido,Niño,9903,Soltero,Masculino,0,25,No
,70,Privado,Licenciatura,7811,Soltero,Masculino,5,50,Si
,38,Desconocido,Bachiller,8152,Viudo,Femenino,0,27,No
,45,Desconocido,Niño,481,Soltero,Femenino,0,25,No
,42,Desconocido,Niño,3084,Soltero,Femenino,0,25,Si
,64,Privado,Bachiller,9892,Divorciado,Masculino,3,52,No
,24,Privado,Técnico,106,Casado,Femenino,6,52,Si
,50,Desconocido,Bachiller,2480,Viudo,Femenino,0,31,Si
,57,Independiente,Bachiller,7293,Casado,Femenino,4,41,Si
,18,Desconocido,Niño,1065,Soltero,Femenino,0,28,Si
,37,Desconocido,Bachiller,8527,Separado,Masculino,0,29,No
,56,Privado,Bachiller,1655,Divorciado,Masculino,2,46,No
,67,Privado,Universitario sin graduar,3863,Soltero,Masculino,3,50,No
,39,Independiente,Universitario sin graduar,215,Soltero,Masculino,1,52,No
,39,Privado,Licenciatura,2069,Casado,Masculino,3,52,Si
,51,Desconocido,Niño,8304,Soltero,Femenino,0,24,No
,44,Privado,Licenciatura,6195,Soltero,Femenino,0,30,No
,32,Desconocido,Niño,2201,Soltero,Femenino,0,26,No
,39,Desconocido,Licenciatura,7528,Viudo,Femenino,0,33,No
,22,Gobierno local,Universitario sin graduar,6943,Casado,Femenino,6,52,Si
,19,Privado,7 grado,4908,Casado,Femenino,1,52,Si
,24,Privado,9 grado,5757,Casado,Femenino,6,50,No
,51,Gobierno local,Licenciatura,470,Soltero,Masculino,6,52,Si
,50,Gobierno local,Bachiller,5834,Casado,Masculino,3,52,Si
,40,Desconocido,7 grado,6845,Soltero,Masculino,0,23,No
,18,Desconocido,3 primaria,9373,Soltero,Masculino,0,30,No
,40,Privado,Licenciatura,7140,Casado,Masculino,1,52,Si
,39,Gobierno Nacional,Universitario sin graduar,9529,Soltero,Masculino,5,50,No
,49,Desconocido,5 primaria,2906,Soltero,Femenino,0,19,Si
,58,Privado,9 grado,6745,Casado,Masculino,4,52,Si
,66,Desconocido,Niño,2230,Soltero,Femenino,0,24,Si
,39,Desconocido,Niño,7238,Soltero,Femenino,0,22,Si
,20,Mixto,Magister,4736,Divorciado,Femenino,1,52,Si
,26,Privado,Bachiller,6092,Casado,Femenino,2,52,No
,54,Privado,Universitario,750,Casado,Femenino,5,52,No
,24,Privado,Universitario sin graduar,2288,Soltero,Femenino,4,52,Si
,47,Privado,Bachiller,3364,Divorciado,Femenino,3,42,Si
,68,Desconocido,Bachiller,7930,Soltero,Femenino,1,40,Si
,21,Privado,Universitario sin graduar,972,Casado,Femenino,5,50,Si
,38,Desconocido,Bachiller,9392,Casado,Femenino,0,32,Si
,24,Gobierno Nacional,Bachiller,7900,Soltero,Masculino,4,52,Si
,59,Desconocido,Niño,9905,Soltero,Masculino,0,29,Si
,28,Privado,Bachiller,9173,Soltero,Femenino,6,52,Si
,25,Desconocido,Niño,2763,Soltero,Femenino,0,27,Si
,45,Desconocido,Universitario sin graduar,7394,Casado,Femenino,0,29,No
,44,Privado,Bachiller,605,Divorciado,Femenino,6,48,No
,45,Privado,9 grado,8957,Soltero,Masculino,2,46,No
,56,Desconocido,Bachiller,8968,Viudo,Femenino,0,24,Si
,24,Privado,3 primaria,3250,Casado,Femenino,1,51,No
,44,Desconocido,Niño,6322,Soltero,Femenino,0,27,Si
,32,Gobierno local,Magister,4261,Casado,Femenino,6,52,Si
,58,Privado,Universitario,1000,Casado,Masculino,3,52,Si
,48,Desconocido,Desconocido,395,Casado,Femenino,0,20,Si
,38,Desconocido,Menor de 1 primero primaria,2434,Casado,Femenino,0,26,No
,39,Desconocido,Universitario sin graduar,6571,Casado,Masculino,0,25,No
,54,Desempleado,Universitario sin graduar,1926,Casado,Femenino,6,52,No
,50,Privado,Técnico,960,Casado,Masculino,4,52,No
,61,Independiente,Técnico,635,Casado,Femenino,1,41,No
,64,Privado,Bachiller,900,Casado,Femenino,6,52,Si
,35,Desconocido,Licenciatura,5165,Casado,Masculino,0,30,No
,44,Desconocido,5 primaria,6869,Casado,Femenino,0,20,No
,54,Privado,Licenciatura,1871,Soltero,Femenino,4,52,No
,29,Desconocido,Niño,7833,Soltero,Femenino,0,17,No
,68,Desconocido,9 grado,3135,Soltero,Femenino,0,27,No
,18,Desconocido,Niño,8219,Soltero,Masculino,0,28,Si
,23,Gobierno Nacional,Bachiller,3752,Casado,Femenino,2,52,Si
,69,Desconocido,3 primaria,1358,Soltero,Femenino,0,26,Si
,59,Privado,Bachiller,6569,Soltero,Masculino,2,52,No
,32,Privado,Universitario,2269,Soltero,Masculino,1,51,Si
,69,Desconocido,Universitario sin graduar,5845,Casado,Masculino,0,23,Si
,18,Desconocido,Niño,3198,Soltero,Femenino,0,24,No
,59,Desconocido,Normalista,147,Soltero,Femenino,1,40,Si
,64,Independiente,Licenciatura,9403,Casado,Masculino,1,52,Si
,44,Privado,Universitario sin graduar,465,Divorciado,Femenino,3,52,No
,47,Desconocido,3 primaria,6548,Soltero,Femenino,0,23,Si
,65,Privado,Licenciatura,5353,Casado,Masculino,3,52,Si
,50,Desconocido,Bachiller,2466,Casado,Femenino,0,22,Si
,34,Privado,Universitario sin graduar,825,Divorciado,Femenino,3,52,Si
,53,Desconocido,Niño,3157,Soltero,Femenino,0,27,No
,38,Desconocido,7 grado,7227,Soltero,Femenino,0,27,Si
,65,Privado,Bachiller,6792,Casado,Masculino,4,47,Si
,31,Privado,5 primaria,9164,Casado,Masculino,4,47,Si
,30,Privado,Bachiller,7407,Soltero,Masculino,6,52,Si
,54,Desconocido,Bachiller,3599,Casado,Femenino,0,24,Si
,32,Desconocido,Niño,7844,Soltero,Femenino,0,29,No
,19,Desconocido,Niño,7041,Soltero,Masculino,0,24,No
,65,Privado,Bachiller,575,Viudo,Femenino,6,52,No
,35,Desconocido,Bachiller,8214,Casado,Femenino,0,28,No
,46,Privado,Bachiller,5342,Soltero,Femenino,6,49,Si
,37,Privado,Licenciatura,3217,Casado,Femenino,6,50,Si
,34,Desconocido,Niño,4972,Soltero,Masculino,0,18,No
,45,Desconocido,Niño,3050,Soltero,Masculino,0,23,No
,53,Privado,Bachiller,8939,Casado,Femenino,6,52,Si
,22,Desconocido,Niño,5121,Soltero,Femenino,0,24,No
,34,Privado,Bachiller,1300,Casado,Masculino,6,52,No
,40,Privado,Universitario,7679,Soltero,Femenino,4,52,Si
,58,Privado,Magister,2912,Casado,Masculino,1,52,Si
,37,Privado,Licenciatura,3753,Casado,Masculino,1,52,No
,20,Privado,Bachiller,5531,Soltero,Masculino,3,42,Si
,28,Desconocido,Niño,4675,Soltero,Masculino,0,21,Si
,53,Desconocido,Niño,5931,Soltero,Masculino,0,25,Si
,23,Privado,Normalista,4259,Divorciado,Masculino,0,20,Si
,44,Gobierno local,Licenciatura,7378,Soltero,Masculino,6,52,No
,37,Independiente,Universitario sin graduar,7678,Soltero,Femenino,1,52,No
,26,Privado,Magister,5883,Casado,Masculino,6,52,No
,69,Privado,Técnico,6707,Casado,Femenino,4,52,Si
,24,Desconocido,Bachiller,2872,Viudo,Femenino,0,24,Si
,21,Independiente,Licenciatura,3236,Cónyuge ausente,Masculino,1,52,Si
,67,Desconocido,Bachiller,7458,Casado,Femenino,0,20,Si
,31,Privado,Licenciatura,1096,Casado,Masculino,2,52,No
,62,Desconocido,Niño,5633,Soltero,Femenino,0,30,No
,63,Desconocido,Bachiller,3143,Casado,Femenino,0,32,Si
,61,Desconocido,Niño,0,Soltero,Femenino,0,33,No
,61,Desconocido,Universitario sin graduar,238,Casado,Masculino,1,41,Si
,34,Desconocido,Niño,8597,Soltero,Masculino,0,27,Si
,67,Privado,Bachiller,445,Divorciado,Femenino,3,52,Si
,46,Desconocido,Licenciatura,9547,Separado,Masculino,0,22,No
,34,Privado,Normalista,9633,Casado,Masculino,3,52,Si
,67,Privado,Universitario sin graduar,5896,Casado,Masculino,4,52,Si
,30,Desconocido,Grado 11 sin diploma,8809,Soltero,Masculino,0,24,Si
,25,Desconocido,Bachiller,8077,Viudo,Femenino,0,26,No
,61,Desconocido,Bachiller,9623,Casado,Femenino,0,28,No
,56,Desconocido,Niño,7675,Soltero,Masculino,0,27,Si
,68,Desconocido,Bachiller,1138,Casado,Femenino,0,30,No
,43,Desconocido,Técnico,1244,Casado,Femenino,0,25,Si
,33,Desconocido,Niño,9299,Soltero,Femenino,0,23,Si
,29,Gobierno Nacional,Magister,1356,Soltero,Masculino,6,52,Si
,40,Desconocido,Bachiller,9040,Casado,Masculino,0,30,Si
,70,Desconocido,Universitario sin graduar,784,Casado,Femenino,0,27,No
,18,Desconocido,Universitario sin graduar,2395,Casado,Femenino,0,27,Si
,52,Privado,Universitario sin graduar,4528,Soltero,Masculino,4,41,Si
,67,Desconocido,Niño,3307,Soltero,Femenino,0,25,Si
,62,Privado,Licenciatura,9300,Casado,Masculino,6,52,No
,54,Desconocido,Bachiller,925,Casado,Femenino,0,24,No
,57,Privado,Bachiller,725,Casado,Masculino,6,52,Si
,61,Desconocido,7 grado,5080,Soltero,Masculino,0,31,Si
,67,Desconocido,9 grado,1977,Soltero,Masculino,6,43,No
,53,Privado,Bachiller,1900,Casado,Masculino,4,52,Si
,60,Privado,9 grado,6513,Casado,Masculino,3,52,Si
,37,Gobierno local,Técnico,3179,Casado,Masculino,4,52,No
,37,Privado,Universitario sin graduar,990,Casado,Masculino,4,52,Si
,26,Desconocido,Niño,6265,Soltero,Femenino,0,22,No
,53,Desconocido,Bachiller,8449,Casado,Femenino,0,21,Si
,54,Desconocido,Niño,4121,Soltero,Femenino,0,19,Si
,65,Privado,Universitario sin graduar,624,Divorciado,Femenino,6,52,No
,34,Privado,Licenciatura,4443,Divorciado,Femenino,1,52,Si
,58,Desconocido,Niño,1894,Soltero,Masculino,0,21,No
,35,Desconocido,Licenciatura,2054,Casado,Femenino,6,52,Si
,47,Privado,Licenciatura,6853,Casado,Masculino,2,50,Si
,34,Privado,Bachiller,9553,Casado,Masculino,6,52,Si
,43,Privado,Bachiller,1261,Casado,Masculino,6,52,No
,69,Desconocido,Niño,8806,Soltero,Masculino,0,27,Si
,64,Privado,Universitario sin graduar,8969,Casado,Masculino,2,52,No
,20,Desconocido,Niño,1551,Soltero,Masculino,0,20,No
,56,Privado,Magister,3252,Casado,Masculino,3,52,No
,66,Desconocido,Niño,9759,Soltero,Femenino,0,33,No
,20,Desconocido,Niño,2118,Soltero,Masculino,0,20,Si
,68,Privado,9 grado,9179,Divorciado,Femenino,6,42,No
,34,Desconocido,10 grado,3041,Soltero,Masculino,0,31,No
,56,Desconocido,Niño,478,Soltero,Femenino,0,26,Si
,68,Privado,Magister,2271,Casado,Femenino,6,52,Si
,65,Mixto,7 grado,4794,Casado,Masculino,2,52,Si
,62,Desconocido,Niño,2834,Soltero,Masculino,0,22,No
,23,Desconocido,Niño,2174,Soltero,Femenino,0,19,Si
,69,Desconocido,Niño,5705,Soltero,Femenino,0,28,No
,67,Desconocido,7 grado,1050,Viudo,Masculino,0,18,Si
,65,Independiente,Magister,9050,Casado,Masculino,1,52,Si
,56,Desconocido,Menor de 1 primero primaria,3557,Casado,Masculino,0,28,No
,34,Privado,Universitario sin graduar,4709,Divorciado,Femenino,4,52,No
,19,Mixto,Universitario sin graduar,7320,Casado,Femenino,1,52,No
,52,Desconocido,Niño,7657,Soltero,Masculino,0,31,No
